vid,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
train_video/0237,2.527777778,720,1280,yuv420p,30.0,242,0,507551
train_video/0238,2.333333333,720,1280,yuv420p,30.0,242,0,290615
train_video/0239,3.722222222,1080,1920,yuv420p,0.5,6,8,652619
train_video/0240,3.583333333,1080,1920,yuv420p,0.5,4,0,675048
train_video/0241,3.638888889,1080,1920,yuv420p,0.5,4,0,261798
train_video/0242,3.361111111,1080,1920,yuv420p,0.5,4,0,147074
train_video/0243,2.972222222,1080,1920,yuv420p,0.5,4,0,86205
train_video/0244,2.916666667,1080,1920,yuv420p,0.5,4,0,74737
train_video/0245,2.305555556,1080,1920,yuv420p,0.5,4,0,22271
train_video/0246,3.166666667,720,1280,yuv420p,30.0,362,8,1003557
train_video/0247,2.944444444,720,1280,yuv420p,30.0,242,0,2798375
train_video/0248,3.111111111,720,1280,yuv420p,30.0,242,0,1909524
train_video/0249,3.027777778,720,1280,yuv420p,30.0,242,0,683754
train_video/0250,3.027777778,720,1280,yuv420p,30.0,242,0,406217
train_video/0251,3.027777778,720,1280,yuv420p,30.0,242,0,210027
train_video/0252,2.805555556,720,1280,yuv420p,30.0,242,0,120308
train_video/0253,3.277777778,720,1280,yuv420p,30.0,240,8,5527905
train_video/0254,3.5,720,1280,yuv420p,30.0,240,0,5450835
train_video/0255,3.388888889,720,1280,yuv420p,30.0,240,0,2047690
train_video/0256,3.416666667,720,1280,yuv420p,30.0,240,0,593608
train_video/0257,3.416666667,720,1280,yuv420p,30.0,240,0,430596
train_video/0258,3.027777778,720,1280,yuv420p,30.0,240,0,176595
train_video/0259,2.916666667,720,1280,yuv420p,30.0,240,0,133397
train_video/0260,3.361111111,1080,1920,yuv420p,30.0,240,0,6195872
train_video/0261,3.277777778,1080,1920,yuv420p,30.0,240,0,24815875
train_video/0262,3.083333333,1080,1920,yuv420p,30.0,240,0,12233886
train_video/0263,3.166666667,1080,1920,yuv420p,30.0,240,0,4335537
train_video/0264,2.972222222,1080,1920,yuv420p,30.0,240,0,2429394
train_video/0265,2.972222222,1080,1920,yuv420p,30.0,240,0,1887910
train_video/0266,2.777777778,1080,1920,yuv420p,30.0,240,0,763538
train_video/0267,2.6,720,1280,yuv420p,30.0,198,8,11022933
train_video/0268,2.8,720,1280,yuv420p,30.0,198,0,4914585
train_video/0269,2.55,720,1280,yuv420p,30.0,198,0,1203432
train_video/0270,2.6,720,1280,yuv420p,30.0,198,0,879202
train_video/0271,2.55,720,1280,yuv420p,30.0,198,0,479145
train_video/0272,2.15,720,1280,yuv420p,30.0,198,0,213536
train_video/0273,1.7,720,1280,yuv420p,30.0,198,0,98071
train_video/0274,3.944444444,1080,1920,yuv420p,30.0,360,8,13274153
train_video/0275,3.916666667,1080,1920,yuv420p,30.0,240,0,31061588
train_video/0276,3.972222222,1080,1920,yuv420p,30.0,240,0,8393950
train_video/0277,3.75,1080,1920,yuv420p,30.0,240,0,3057175
train_video/0278,3.5,1080,1920,yuv420p,30.0,240,0,2322859
train_video/0279,3.083333333,1080,1920,yuv420p,30.0,240,0,954174
train_video/0280,2.972222222,1080,1920,yuv420p,30.0,240,0,809762
train_video/0281,3.972222222,1080,1920,yuv420p,30.0,267,0,16812658
train_video/0282,3.722222222,1080,1920,yuv420p,30.0,240,0,29959580
train_video/0283,3.833333333,1080,1920,yuv420p,30.0,240,0,11668009
train_video/0284,3.944444444,1080,1920,yuv420p,30.0,240,0,3400740
train_video/0285,3.444444444,1080,1920,yuv420p,30.0,240,0,2088766
train_video/0286,3.055555556,1080,1920,yuv420p,30.0,240,0,854064
train_video/0287,2.833333333,1080,1920,yuv420p,30.0,240,0,478939
train_video/0288,3.638888889,1080,1920,yuv420p,60.0,570,8,20086356
train_video/0289,3.444444444,1080,1920,yuv420p,60.0,480,0,5938365
train_video/0290,3.666666667,1080,1920,yuv420p,60.0,480,0,2836316
train_video/0291,3.333333333,1080,1920,yuv420p,60.0,480,0,1090916
train_video/0292,3.027777778,1080,1920,yuv420p,60.0,480,0,586830
train_video/0293,3.027777778,1080,1920,yuv420p,60.0,480,0,401843
train_video/0294,2.638888889,1080,1920,yuv420p,60.0,480,0,272351
train_video/0295,2.972222222,720,1280,yuv420p,25.0,200,8,4373378
train_video/0296,3.194444444,720,1280,yuv420p,25.0,199,0,12373873
train_video/0297,3.138888889,720,1280,yuv420p,25.0,199,0,5254811
train_video/0298,3.138888889,720,1280,yuv420p,25.0,199,0,2911699
train_video/0299,2.916666667,720,1280,yuv420p,25.0,199,0,1291952
train_video/0300,2.666666667,720,1280,yuv420p,25.0,199,0,672681
train_video/0301,2.583333333,720,1280,yuv420p,25.0,199,0,303173
train_video/0302,3.5,864,1920,yuv420p,28.916666666666668,347,8,7481230
train_video/0303,3.805555556,864,1920,yuv420p,28.916666666666668,231,0,2918678
train_video/0304,3.611111111,864,1920,yuv420p,28.916666666666668,231,0,832167
train_video/0305,3.527777778,864,1920,yuv420p,28.916666666666668,231,0,220251
train_video/0306,3.166666667,864,1920,yuv420p,28.916666666666668,231,0,143007
train_video/0307,2.805555556,864,1920,yuv420p,28.916666666666668,231,0,66753
train_video/0308,2.111111111,864,1920,yuv420p,28.916666666666668,231,0,43482
train_video/0309,3.416666667,1080,1920,yuv420p,30.0,281,8,10355358
train_video/0310,3.555555556,1080,1920,yuv420p,30.0,242,0,7290968
train_video/0311,3.555555556,1080,1920,yuv420p,30.0,242,0,4851730
train_video/0312,3.277777778,1080,1920,yuv420p,30.0,242,0,1163675
train_video/0313,3.277777778,1080,1920,yuv420p,30.0,242,0,724149
train_video/0314,3.166666667,1080,1920,yuv420p,30.0,242,0,638288
train_video/0315,2.416666667,1080,1920,yuv420p,30.0,242,0,250601
train_video/0316,2.75,720,1280,yuv420p,24.0,288,8,2560024
train_video/0317,3.222222222,720,1280,yuv420p,24.0,192,0,2282950
train_video/0318,3.305555556,720,1280,yuv420p,24.0,192,0,1071534
train_video/0319,3.222222222,720,1280,yuv420p,24.0,192,0,411275
train_video/0320,2.833333333,720,1280,yuv420p,24.0,192,0,260487
train_video/0321,2.611111111,720,1280,yuv420p,24.0,192,0,138657
train_video/0322,2.111111111,720,1280,yuv420p,24.0,192,0,95088
train_video/0323,3.666666667,1080,1920,yuv420p,20.0,134,8,2216711
train_video/0324,3.722222222,1080,1920,yuv420p,20.0,53,0,5396211
train_video/0325,3.833333333,1080,1920,yuv420p,20.0,53,0,1588338
train_video/0326,3.75,1080,1920,yuv420p,20.0,53,0,597421
train_video/0327,3.666666667,1080,1920,yuv420p,20.0,53,0,391680
train_video/0328,3.388888889,1080,1920,yuv420p,20.0,53,0,231118
train_video/0329,2.777777778,1080,1920,yuv420p,20.0,53,0,118294
train_video/0330,4.222222222,1080,1920,yuv420p,30.0,141,8,14339807
train_video/0331,3.888888889,1080,1920,yuv420p,30.0,111,0,3125158
train_video/0332,3.972222222,1080,1920,yuv420p,30.0,111,0,1456527
train_video/0333,3.888888889,1080,1920,yuv420p,30.0,111,0,1050166
train_video/0334,3.833333333,1080,1920,yuv420p,30.0,111,0,671167
train_video/0335,3.25,1080,1920,yuv420p,30.0,111,0,269820
train_video/0336,2.888888889,1080,1920,yuv420p,30.0,111,0,173805
train_video/0337,3.833333333,1080,1920,yuv420p,60.0,508,8,5787737
train_video/0338,3.805555556,1080,1920,yuv420p,60.0,480,0,5299964
train_video/0339,3.75,1080,1920,yuv420p,60.0,480,0,4004420
train_video/0340,3.5,1080,1920,yuv420p,60.0,480,0,1089338
train_video/0341,3.444444444,1080,1920,yuv420p,60.0,480,0,872466
train_video/0342,3.111111111,1080,1920,yuv420p,60.0,480,0,619526
train_video/0343,2.611111111,1080,1920,yuv420p,60.0,480,0,379539
train_video/0344,4.083333333,1080,1920,yuv420p,30.0,360,0,4993909
train_video/0345,4.027777778,1080,1920,yuv420p,30.0,240,0,6920967
train_video/0346,3.944444444,1080,1920,yuv420p,30.0,240,0,3847290
train_video/0347,3.972222222,1080,1920,yuv420p,30.0,240,0,1547136
train_video/0348,3.833333333,1080,1920,yuv420p,30.0,240,0,1044521
train_video/0349,3.277777778,1080,1920,yuv420p,30.0,240,0,537536
train_video/0350,2.861111111,1080,1920,yuv420p,30.0,240,0,264632
train_video/0351,2.75,720,1280,yuv420p,30.0,360,8,6606165
train_video/0352,3.0,720,1280,yuv420p,30.0,240,0,2526504
train_video/0353,2.916666667,720,1280,yuv420p,30.0,240,0,582031
train_video/0354,2.916666667,720,1280,yuv420p,30.0,240,0,299152
train_video/0355,2.805555556,720,1280,yuv420p,30.0,240,0,244198
train_video/0356,2.166666667,720,1280,yuv420p,30.0,240,0,129692
train_video/0357,2.027777778,720,1280,yuv420p,30.0,240,0,116551
train_video/0358,3.361111111,1080,1920,yuv420p,60.0,570,8,4996798
train_video/0359,3.25,1080,1920,yuv420p,60.0,480,0,7564782
train_video/0360,3.222222222,1080,1920,yuv420p,60.0,480,0,1013889
train_video/0361,3.166666667,1080,1920,yuv420p,60.0,480,0,673213
train_video/0362,3.25,1080,1920,yuv420p,60.0,480,0,519213
train_video/0363,3.027777778,1080,1920,yuv420p,60.0,480,0,279433
train_video/0364,2.777777778,1080,1920,yuv420p,60.0,480,0,160501
train_video/0365,3.666666667,720,1280,yuv420p,60.0,533,8,10211074
train_video/0366,3.75,720,1280,yuv420p,60.0,480,0,14314427
train_video/0367,3.555555556,720,1280,yuv420p,60.0,480,0,3985245
train_video/0368,3.5,720,1280,yuv420p,60.0,480,0,1439682
train_video/0369,3.277777778,720,1280,yuv420p,60.0,480,0,583153
train_video/0370,3.027777778,720,1280,yuv420p,60.0,480,0,356053
train_video/0371,2.555555556,720,1280,yuv420p,60.0,480,0,182820
train_video/0372,2.611111111,1080,1920,yuv420p,60.0,722,8,7510679
train_video/0373,2.5,1080,1920,yuv420p,60.0,485,0,6591928
train_video/0374,2.305555556,1080,1920,yuv420p,60.0,485,0,3173898
train_video/0375,2.416666667,1080,1920,yuv420p,60.0,485,0,1026008
train_video/0376,2.333333333,1080,1920,yuv420p,60.0,485,0,688910
train_video/0377,2.222222222,1080,1920,yuv420p,60.0,485,0,618717
train_video/0378,2.083333333,1080,1920,yuv420p,60.0,485,0,397598
train_video/0379,3.972222222,720,1280,yuv420p,25.0,66,8,5569554
train_video/0380,3.75,720,1280,yuv420p,25.0,66,0,438687
train_video/0381,3.527777778,720,1280,yuv420p,25.0,66,0,214503
train_video/0382,3.388888889,720,1280,yuv420p,25.0,66,0,137839
train_video/0383,3.333333333,720,1280,yuv420p,25.0,66,0,88678
train_video/0384,2.972222222,720,1280,yuv420p,25.0,66,0,68409
train_video/0385,2.555555556,720,1280,yuv420p,25.0,66,0,50000
train_video/0386,3.611111111,1080,1920,yuv420p,30.0,180,8,10235978
train_video/0387,3.333333333,1080,1920,yuv420p,30.0,60,0,3749860
